finance_id,model_id,year,country,units_sold,total_revenue,profit,min_price,max_price,revenue_per_unit,average_profit_margin_pct,tax_rate_pct,import_duty_usd,local_manufacturing_cost_usd,marketing_expense_usd,r_and_d_expense_usd,warranty_cost_usd,dealer_commission_pct,currency,exchange_rate_to_usd,net_profit_usd,gross_margin_usd,operating_expense_usd,net_revenue_usd,tax_paid_usd,interest_expense_usd,cash_flow_usd,capital_expenditure_usd,depreciation_usd,amortization_usd,ebitda_usd,ebit_usd,net_income_usd,dividend_usd,shares_outstanding
1057,TataModel_16,2021,India,973,27005164.87,2573592.21,4579.83,22094.50,27754.54,9.53,7.25,1182.74,7940.13,10473.02,7605.75,6689.11,9.08,JPY,1.15,615717.76,26996042.00,56265.22,26948899.65,1957874.45,10539.79,18802.04,11726.01,10044.59,1926.21,26960870.45,26950330.66,24992456.20,2148.08,3433002.00
1058,TataModel_16,2022,India,3839,99993089.33,20438587.46,4816.14,73944.19,26046.65,20.44,13.60,1269.79,14227.46,5581.53,10830.59,2368.63,10.24,GBP,0.71,6839527.31,99977592.08,46407.74,99946681.59,13599060.15,10811.86,32510.03,17838.30,5022.22,4101.42,99955805.23,99944993.37,86345933.23,2631.35,4807158.00
1059,TataModel_16,2023,India,1171,32010285.95,6514093.19,12298.65,45549.89,27335.85,20.35,5.68,1106.47,20908.99,10537.48,15197.42,2714.57,7.47,INR,0.79,4695908.95,31988270.49,13781.83,31996504.12,1818184.24,1363.53,110861.77,5651.16,1648.60,3868.97,32002021.69,32000658.16,30182473.91,4186.11,1907816.00
1060,TataModel_16,2024,India,5062,69859377.75,20552628.93,6385.61,51008.16,13800.75,29.42,11.93,144.21,23953.11,5128.17,3251.54,4286.50,6.92,INR,1.35,12218405.17,69835280.43,23254.58,69836123.17,8334223.77,8683.79,108039.25,28719.82,2941.49,5675.36,69844740.02,69836056.23,61501832.47,3881.35,3218955.00
1061,TataModel_16,2015,USA,2478,134863273.84,33648386.82,10817.07,45025.14,54424.24,24.95,7.27,237.51,21634.42,8420.30,4580.09,7238.68,7.91,EUR,1.49,23843826.82,134841401.91,61853.55,134801420.29,9804560.01,11655.70,20665.79,39833.30,2929.45,1890.65,134806240.39,134794584.69,124990024.68,4475.12,3720478.00
1062,TataModel_16,2016,USA,5951,341608282.24,68594943.07,14032.14,29299.34,57403.51,20.08,14.09,1268.15,9137.40,14594.57,8670.96,5063.35,6.72,GBP,1.23,20462336.11,341597876.69,13031.13,341595251.11,48132606.97,10647.20,63165.28,16043.23,3517.82,4189.76,341602958.69,341592311.49,293459704.52,1173.96,2603499.00
1063,TataModel_16,2017,USA,3166,147131688.13,38416083.77,14389.82,74090.00,46472.42,26.11,18.70,1037.82,23154.68,3998.70,11085.58,3142.04,4.10,USD,0.93,10902458.09,147107495.63,41252.16,147090435.97,27513625.68,5502.04,117671.57,34473.23,3038.10,7375.06,147100849.13,147095347.09,119581721.41,4640.16,4082769.00
1064,TataModel_16,2018,USA,5274,351890370.70,32585048.33,4697.07,38227.59,66721.72,9.26,12.07,478.19,14123.59,9819.17,12874.65,4950.91,5.49,AUD,0.97,-9888119.42,351875768.92,60716.51,351829654.19,42473167.74,13925.09,83988.27,9261.68,2844.24,7932.84,351840431.27,351826506.18,309353338.44,1890.41,4595201.00
1065,TataModel_16,2019,USA,3985,272175597.76,40091465.55,15638.42,29893.70,68300.02,14.73,19.44,484.39,9060.83,11993.73,3448.12,2826.07,11.18,AUD,1.34,-12819470.65,272166052.54,45945.67,272129652.09,52910936.20,7025.51,81373.39,32744.92,3768.75,1192.58,272134613.42,272127587.91,219216651.71,1397.23,3703648.00
1066,TataModel_16,2020,USA,5414,219902383.92,18625731.92,14866.03,38378.68,40617.36,8.47,12.98,398.21,10317.04,9216.78,4322.57,2428.03,10.32,EUR,1.38,-9917597.51,219891668.67,96268.99,219806114.93,28543329.43,6492.75,18937.39,20090.07,1618.04,2704.64,219810437.61,219803944.86,191260615.43,2110.37,2957957.00
1067,TataModel_16,2021,USA,3572,241496426.03,27989435.78,12430.80,61128.36,67608.18,11.59,11.32,502.28,16668.62,7242.64,13238.75,2097.35,11.44,EUR,0.97,652040.35,241479255.13,71807.38,241424618.65,27337395.43,13993.01,93911.31,57729.59,5705.17,6498.96,241436822.78,241422829.77,214085434.34,2667.77,3792577.00
1068,TataModel_16,2022,USA,354,12954265.52,2180202.89,5372.37,40222.14,36593.97,16.83,17.58,387.44,7988.57,4430.84,13505.86,924.75,10.98,EUR,0.55,-97156.99,12945889.51,66397.49,12887868.03,2277359.88,13641.26,39436.94,34399.35,8105.61,4791.10,12900764.74,12887123.48,10609763.60,1893.81,2976530.00
1069,TataModel_16,2023,USA,5576,185317355.08,41566682.74,14272.89,24639.72,33234.82,22.43,7.41,874.50,13881.69,1349.30,15326.63,4507.72,9.93,GBP,1.39,27834666.73,185302598.89,46780.01,185270575.07,13732016.01,14509.10,66823.90,6895.37,10955.30,6816.61,185288346.98,185273837.88,171541821.87,2523.13,1938612.00
1070,TataModel_16,2024,USA,1425,77875192.19,11237390.23,9721.54,36765.24,54649.26,14.43,7.58,1111.85,19995.01,4353.67,11017.12,4087.93,9.85,AUD,1.42,5334450.66,77854085.33,85814.33,77789377.86,5902939.57,4632.00,61199.08,35579.69,11089.24,7681.51,77808148.61,77803516.61,71900577.04,4845.80,4084374.00
1071,TataModel_16,2015,UK,4163,227667555.07,12703849.57,12852.06,53290.96,54688.34,5.58,19.09,213.82,23171.04,4728.38,6803.02,2745.37,4.60,AUD,0.99,-30757886.69,227644170.21,72411.06,227595144.01,43461736.26,4098.12,93960.83,9680.20,1993.83,7260.73,227604398.57,227600300.45,184138564.19,2977.29,3590373.00
1072,TataModel_16,2016,UK,3753,141063154.41,32077761.31,19254.89,21399.64,37586.77,22.74,12.70,1099.59,15052.49,10306.02,14929.43,3845.95,11.44,USD,1.19,14162740.70,141047002.33,88951.66,140974202.75,17915020.61,4579.90,76219.92,34915.22,1092.82,711.68,140976007.25,140971427.35,123056406.74,3418.89,2698163.00
1073,TataModel_16,2017,UK,5888,245779413.72,54096048.96,16932.53,68590.57,41742.43,22.01,16.51,179.67,17342.62,1109.98,16787.97,576.92,11.16,AUD,1.03,13517867.75,245761891.43,89811.87,245689601.85,40578181.20,7323.32,73434.44,26746.03,7960.66,763.58,245698326.09,245691002.77,205112821.56,1660.27,1703098.00
1074,TataModel_16,2018,UK,242,14754684.18,1454811.86,9012.95,40790.93,60969.77,9.86,19.22,789.24,11892.67,10416.29,12563.40,2052.15,4.15,GBP,0.73,-1381038.44,14742002.27,54698.02,14699986.16,2835850.30,2208.82,64991.68,50079.78,7468.07,7516.30,14714970.53,14712761.71,11876911.41,2428.76,2968455.00
1075,TataModel_16,2019,UK,2390,34145175.00,9161150.45,18694.18,57300.65,14286.68,26.83,18.80,149.21,21096.73,13160.45,15589.23,4389.65,5.43,GBP,0.68,2741857.55,34123929.06,11111.41,34134063.59,6419292.90,7518.98,25256.47,35337.18,9611.13,5960.91,34149635.63,34142116.65,27722823.75,4951.91,4565472.00
1076,TataModel_16,2020,UK,126,7866620.70,2078361.19,18083.10,47693.39,62433.50,26.42,10.13,978.60,13671.34,10891.01,12432.95,3868.55,4.38,AUD,1.40,1281472.51,7851970.76,89289.30,7777331.40,796888.68,7212.78,32934.48,8177.32,6078.83,5183.04,7788593.27,7781380.49,6984491.81,4752.59,4239245.00
1077,TataModel_16,2021,UK,589,37477696.60,4130042.17,8582.01,45308.71,63629.37,11.02,10.37,1361.26,5734.12,5343.23,17650.26,6600.22,3.22,EUR,0.73,243605.03,37470601.22,12553.32,37465143.28,3886437.14,11816.13,67191.72,41980.07,9445.69,2249.23,37476838.20,37465022.07,33578584.94,3202.21,2532594.00
1078,TataModel_16,2022,UK,1054,25946889.45,1385563.90,12138.64,47271.27,24617.54,5.34,13.92,1239.42,13795.35,5064.60,3313.93,1458.97,7.54,INR,0.70,-2226243.12,25931854.68,95404.21,25851485.24,3611807.01,1226.38,97846.23,53808.46,9210.90,4457.31,25865153.45,25863927.07,22252120.06,3421.38,3801862.00
1079,TataModel_16,2023,UK,3397,173919661.82,37879702.34,15025.48,41097.28,51198.02,21.78,19.04,784.20,14124.91,11740.73,7598.09,5233.16,6.60,JPY,1.31,4765398.73,173904752.71,26008.69,173893653.13,33114303.61,3637.20,119583.01,32500.52,3364.82,4669.89,173901687.84,173898050.64,140783747.03,4419.60,1456974.00
1080,TataModel_16,2024,UK,274,1399270.24,143984.91,19330.67,39556.45,5106.83,10.29,14.69,470.93,4820.33,9970.08,10868.04,5060.19,5.61,INR,1.42,-61567.89,1393978.98,67897.09,1331373.15,205552.80,7178.29,93658.34,54605.49,5708.05,1126.65,1338207.85,1331029.56,1125476.76,4256.84,4331922.00
1081,TataModel_16,2015,Germany,4873,292315745.36,20462102.18,19834.31,70852.94,59986.81,7.00,12.21,1201.51,5365.83,1634.37,14244.53,6746.22,9.95,AUD,0.93,-15229650.33,292309178.02,79196.08,292236549.28,35691752.51,5390.17,77470.48,9741.98,10020.66,1500.11,292248070.05,292242679.88,256550927.37,2028.28,3748484.00
1082,TataModel_16,2016,Germany,5497,357183148.43,57792233.42,5454.15,50521.77,64977.83,16.18,9.96,683.35,15622.08,12998.86,9567.22,3360.71,9.92,JPY,0.88,22216791.83,357166843.00,54793.95,357128354.48,35575441.58,10545.82,58333.13,9979.31,4818.65,6185.20,357139358.33,357128812.51,321553370.92,3066.57,3516480.00
1083,TataModel_16,2017,Germany,4770,87913946.13,7375980.08,4309.82,26121.16,18430.60,8.39,17.57,1185.35,5881.03,7691.39,17201.81,3936.70,3.92,EUR,0.92,-8070500.25,87906879.75,68924.25,87845021.88,15446480.33,12232.13,47874.80,36499.86,4338.51,897.27,87850257.66,87838025.53,72391545.19,4013.87,1514622.00
1084,TataModel_16,2018,Germany,2282,141712341.80,40388017.41,19137.96,47798.71,62100.06,28.50,16.52,1478.07,14837.57,7929.64,19616.65,7469.37,7.35,AUD,1.23,16977138.55,141696026.16,16540.02,141695801.78,23410878.86,13935.59,59368.07,22797.76,10011.70,4438.62,141710252.10,141696316.51,118285437.64,3434.55,4062615.00
1085,TataModel_16,2019,Germany,513,28066056.54,5267998.81,11406.25,49895.49,54709.66,18.77,15.74,1290.14,4556.95,14094.63,11565.14,5786.48,3.75,AUD,0.77,850401.51,28060209.45,65562.17,28000494.37,4417597.30,8989.53,65768.21,24284.56,9088.60,4248.92,28013831.89,28004842.36,23587245.06,2000.83,2359052.00
1086,TataModel_16,2020,Germany,3265,146846924.90,27548483.11,7178.00,25811.00,44976.09,18.76,6.84,974.51,6889.74,2336.78,6828.41,7127.23,10.89,GBP,1.01,17504153.45,146839060.65,17595.96,146829328.94,10044329.66,8601.48,34217.80,55489.89,4648.09,3717.99,146837695.02,146829093.54,136784763.87,2941.49,2185066.00
1087,TataModel_16,2021,Germany,2535,155564814.56,37880032.35,8892.61,44362.95,61366.79,24.35,18.94,1271.61,19884.26,7483.66,14142.45,6198.12,6.01,EUR,1.13,8416056.47,155543658.69,13902.77,155550911.79,29463975.88,9788.56,24940.56,19233.79,2774.33,516.99,155554203.11,155544414.55,126080438.68,4216.75,4885972.00
1088,TataModel_16,2022,Germany,164,10127341.98,1254777.67,16810.31,28065.07,61752.09,12.39,5.99,270.85,22586.14,8137.21,8063.63,5656.17,10.52,EUR,1.19,648149.89,10104484.99,77464.18,10049877.80,606627.78,5731.69,68173.03,29677.98,9778.73,6458.08,10066114.61,10060382.92,9453755.14,1699.57,2876596.00
1089,TataModel_16,2023,Germany,3129,201356663.09,23961442.91,18609.90,29123.08,64351.76,11.90,14.97,492.89,23405.17,12956.42,15478.21,2865.33,9.05,AUD,0.64,-6181649.56,201332765.03,66015.55,201290647.54,30143092.46,9141.19,87331.45,9766.30,9362.85,2076.26,201302086.65,201292945.46,171149852.99,1347.31,2373619.00
1090,TataModel_16,2024,Germany,3858,45079383.82,4341144.66,9056.73,59308.70,11684.65,9.63,19.24,102.55,6709.06,6598.30,12699.91,3701.30,7.70,GBP,0.69,-4332128.79,45072572.21,86462.98,44992920.84,8673273.45,8240.52,82268.08,17857.91,6896.40,2132.96,45001950.20,44993709.68,36320436.23,3906.06,3169361.00
1091,TataModel_16,2015,France,6996,455494466.99,120113890.95,10367.15,29819.29,65107.84,26.37,6.37,692.77,16862.97,6824.48,12629.72,6881.46,4.33,GBP,1.41,91098893.40,455476911.25,30155.01,455464311.98,29014997.55,3425.10,111657.14,57482.36,6605.80,4061.62,455474979.40,455471554.30,426456556.76,1454.50,1635666.00
1092,TataModel_16,2016,France,2082,47259047.25,3312859.21,17666.54,73974.28,22698.87,7.01,7.76,1230.65,19431.32,12495.97,8670.55,1819.67,7.07,INR,0.98,-354442.85,47238385.28,75484.78,47183562.47,3667302.07,12821.73,75014.26,12448.19,4781.55,4442.26,47192786.28,47179964.55,43512662.48,4272.91,4753535.00
1093,TataModel_16,2017,France,2204,138835631.52,10315487.42,15202.48,69177.74,62992.57,7.43,16.40,991.35,10150.68,2419.15,11730.49,7798.08,7.01,GBP,1.20,-12453556.15,138824489.49,49976.75,138785654.77,22769043.57,2922.35,35307.39,50757.43,2126.90,6944.21,138794725.88,138791803.53,116022759.96,4220.09,4403903.00
1094,TataModel_16,2018,France,4225,246486441.82,35789831.35,9038.02,32231.48,58339.99,14.52,17.24,359.05,13391.79,12769.96,6136.34,848.42,9.03,GBP,1.48,-6704431.22,246472690.98,35335.38,246451106.44,42494262.57,7429.43,118222.65,42357.81,7789.14,2611.32,246461506.90,246454077.47,203959814.90,1158.75,4662097.00
1095,TataModel_16,2019,France,5116,70112028.18,6667653.88,6757.59,22240.70,13704.46,9.51,5.12,1169.22,22651.69,10620.08,4210.55,1254.11,5.52,AUD,1.17,3077918.04,70088207.27,89231.67,70022796.51,3589735.84,13623.54,60744.21,42386.21,8987.49,2020.63,70033804.63,70020181.09,66430445.24,3342.95,3242846.00
1096,TataModel_16,2020,France,1847,120550834.04,17793303.10,14498.25,51575.92,65268.45,14.76,13.17,822.58,6933.93,6979.12,5028.17,2835.19,4.50,JPY,0.98,1916758.26,120543077.53,77099.63,120473734.41,15876544.84,8413.84,110618.92,51466.24,7823.08,6852.88,120488410.37,120479996.53,104603451.69,2522.92,4303104.00
1097,TataModel_16,2021,France,6360,331156058.44,52620697.69,11820.53,48473.78,52068.56,15.89,10.03,960.34,22929.56,1441.38,5640.81,4961.02,7.06,USD,0.76,19405745.02,331132168.54,74694.88,331081363.56,33214952.66,5414.22,96144.52,30753.80,3925.11,3887.10,331089175.77,331083761.55,297868808.89,1690.15,3468541.00
1098,TataModel_16,2022,France,2994,81237158.36,11925614.85,11571.58,50223.11,27133.32,14.68,15.79,628.88,19665.36,6663.20,18109.33,4571.70,5.05,JPY,0.64,-901732.46,81216864.12,58922.35,81178236.01,12827347.31,10065.66,29283.82,19965.18,6363.68,7966.74,81192566.43,81182500.77,68355153.47,1542.68,3041159.00
1099,TataModel_16,2023,France,4885,318413529.36,83901964.99,11979.16,43508.56,65181.89,26.35,19.15,1118.34,18630.05,1310.28,8256.85,1896.18,5.57,JPY,1.30,22925774.11,318393780.97,90526.28,318323003.08,60976190.87,3605.33,38771.93,29922.95,9344.90,3196.05,318335544.03,318331938.70,257355747.83,4249.66,1302170.00
1100,TataModel_16,2024,France,4050,201900523.08,13022583.74,13246.21,70942.05,49851.98,6.45,10.52,688.00,21355.27,13865.86,4549.57,4866.77,6.80,EUR,1.39,-8217351.29,201878479.81,21266.38,201879256.70,21239935.03,9923.42,94146.46,28312.17,3127.01,1380.30,201883764.01,201873840.59,180633905.56,2927.54,4914120.00
1101,TataModel_16,2015,Australia,6201,49972124.83,8855060.52,8926.61,68974.26,8058.72,17.72,6.36,1152.74,11527.42,11618.93,19812.27,6593.04,11.48,USD,0.75,5676833.38,49959444.67,71870.53,49900254.30,3178227.14,11523.44,12427.55,26461.57,10413.52,4850.17,49915517.99,49903994.55,46725767.41,4595.49,3853516.00
1102,TataModel_16,2016,Australia,1011,24168930.20,5575772.20,13199.52,33872.03,23905.96,23.07,12.03,1197.17,8932.24,8468.89,17836.68,4235.36,11.00,EUR,0.97,2668249.89,24158800.79,90285.77,24078644.43,2907522.30,1414.41,43369.31,19969.76,11810.94,2278.62,24092733.99,24091319.58,21183797.28,1014.60,1349667.00
1103,TataModel_16,2017,Australia,2905,155873396.73,16943438.22,10964.73,44819.43,53656.94,10.87,19.20,1072.32,13075.36,14174.96,17751.02,1459.06,8.63,INR,1.41,-12984253.95,155859249.05,90949.94,155782446.79,29927692.17,12812.75,13580.82,25171.74,11771.02,1390.97,155795608.78,155782796.03,125855103.86,3434.57,4699624.00
1104,TataModel_16,2018,Australia,369,23042518.36,4447206.04,15997.29,61279.60,62445.85,19.30,19.05,1061.23,8216.41,10617.59,19515.48,2899.77,3.69,JPY,1.32,57606.30,23033240.72,26956.05,23015562.31,4389599.75,10241.00,71764.94,58064.09,2640.00,5201.63,23023403.94,23013162.94,18623563.19,2689.50,3842262.00
1105,TataModel_16,2019,Australia,4472,119001158.47,18909284.08,16037.28,70948.15,26610.28,15.89,5.20,1382.80,23016.57,8552.11,18560.16,626.25,5.13,AUD,1.03,12721223.84,118976759.10,94278.36,118906880.11,6188060.24,4649.04,19905.81,54534.78,7882.42,7044.40,118921806.93,118917157.89,112729097.65,3174.65,3268588.00
1106,TataModel_16,2020,Australia,6892,478453863.86,98083042.09,6594.86,36569.69,69421.63,20.50,11.95,748.94,3632.65,6701.45,17137.80,4499.69,5.77,INR,0.54,40907805.36,478449482.27,52859.22,478401004.64,57175236.73,14226.38,26435.34,20746.00,8326.78,7042.62,478416374.04,478402147.66,421226910.93,2791.46,2887788.00
1107,TataModel_16,2021,Australia,2493,73413942.23,13067681.72,13777.50,62945.05,29448.03,17.80,11.81,1125.25,6343.73,14718.05,9437.67,6131.43,3.88,AUD,1.25,4397495.14,73406473.25,41073.37,73372868.86,8670186.58,3586.10,89213.26,56350.23,6126.75,5257.20,73384252.81,73380666.71,64710480.13,1474.21,1780568.00
1108,TataModel_16,2022,Australia,3140,136612146.13,12377060.44,5836.06,68306.06,43507.05,9.06,16.54,924.51,13069.97,11508.41,9492.60,3181.72,8.38,USD,0.80,-10218588.53,136598151.65,50025.31,136562120.82,22595648.97,10001.34,110241.25,24942.65,8613.93,3040.05,136573774.80,136563773.46,113968124.49,1966.84,3937094.00
1109,TataModel_16,2023,Australia,6209,163248248.76,46688999.15,18131.70,52420.23,26292.20,28.60,8.91,744.61,12922.97,7713.15,18040.07,5021.42,9.75,GBP,1.03,32143580.18,163234581.18,35137.96,163213110.80,14545418.96,3608.37,69532.80,32976.29,1879.62,1195.79,163216186.21,163212577.84,148667158.88,4601.54,1299510.00
1110,TataModel_16,2024,Australia,1930,113308345.23,19851622.08,15798.57,52956.07,58708.99,17.52,11.20,370.74,12872.81,14924.15,14255.79,3006.23,7.78,JPY,0.63,7161087.42,113295101.68,75101.80,113233243.43,12690534.67,9789.93,13705.08,13133.56,6402.53,5319.75,113244965.71,113235175.78,100544641.12,3709.17,2417703.00
1111,TataModel_16,2015,Japan,2852,84192700.74,23902307.74,8908.50,33267.56,29520.58,28.39,19.57,263.87,22733.98,2142.15,5708.26,4511.58,4.74,JPY,0.55,7425796.21,84169702.89,89636.62,84103064.12,16476511.54,4244.55,58294.28,15587.10,1462.33,3400.48,84107926.93,84103682.38,67627170.85,3814.56,2749519.00
1112,TataModel_16,2016,Japan,339,10187043.29,1287642.27,13934.59,25590.96,30050.28,12.64,15.06,187.78,6719.59,2034.36,11837.94,6776.53,11.32,AUD,0.77,-246526.45,10180135.92,87678.75,10099364.54,1534168.72,3997.92,20923.07,51468.98,4918.21,747.18,10105029.93,10101032.01,8566863.29,2977.48,3565582.00
1113,TataModel_16,2017,Japan,5618,184784253.73,49670007.40,15157.46,43957.34,32891.47,26.88,13.10,994.86,3299.91,10362.86,13876.19,775.37,10.10,JPY,1.47,25463270.16,184779958.96,55486.32,184728767.41,24206737.24,5438.16,70256.76,25359.49,10816.60,5296.12,184744880.13,184739441.97,160532704.73,3336.93,1470792.00
1114,TataModel_16,2018,Japan,4997,43372449.67,8483651.16,4251.02,72573.41,8679.70,19.56,19.24,318.44,5299.86,12116.46,12025.53,4400.49,5.20,INR,0.59,138791.84,43366831.37,48791.87,43323657.80,8344859.32,11077.68,96198.36,46941.85,3965.50,3538.01,43331161.31,43320083.63,34975224.31,1581.93,1265988.00
1115,TataModel_16,2019,Japan,2115,95548261.64,23858400.93,10450.99,23240.75,45176.48,24.97,10.70,142.01,19080.47,1076.44,18168.29,5953.25,7.04,INR,0.87,13634736.94,95529039.16,54908.85,95493352.79,10223664.00,3645.24,82853.78,19282.10,4677.30,1648.66,95499678.75,95496033.51,85272369.52,3263.18,3232617.00
1116,TataModel_16,2020,Japan,6147,318493606.75,18504478.55,7553.98,64998.45,51812.85,5.81,8.08,619.81,6330.56,8544.19,4936.37,1106.32,10.01,JPY,0.50,-7229804.87,318486656.38,42062.59,318451544.16,25734283.43,4158.70,75453.17,42526.72,5116.84,6506.99,318463167.99,318459009.29,292724725.86,1735.51,1030771.00
1117,TataModel_16,2021,Japan,5767,358345984.52,60990486.56,4144.10,51673.59,62137.33,17.02,19.94,1245.81,18248.43,1934.17,14009.44,2226.03,6.14,EUR,1.48,-10463702.75,358326490.28,66172.69,358279811.83,71454189.31,13102.56,43876.84,7864.16,5047.28,6541.87,358291400.98,358278298.42,286824109.10,1151.61,4947883.00
1118,TataModel_16,2022,Japan,6700,420720854.61,118979857.68,18470.59,43383.23,62794.16,28.28,9.07,127.87,23648.77,5284.21,19479.40,7693.56,3.37,INR,0.70,80820476.17,420697077.97,27464.89,420693389.72,38159381.51,14891.92,58862.02,12837.20,6520.52,6355.09,420706265.33,420691373.41,382531991.90,3485.01,1061376.00
1119,TataModel_16,2023,Japan,5611,267694288.43,27706358.85,6240.40,34115.09,47708.84,10.35,8.91,351.40,13365.70,12180.26,4139.04,6772.00,4.13,AUD,0.77,3854797.75,267680571.33,56671.55,267637616.88,23851561.10,7611.04,32768.80,46107.97,8375.98,6699.59,267652692.45,267645081.41,243793520.31,3682.26,3997361.00
1120,TataModel_16,2024,Japan,5760,363166679.03,18376233.96,18337.54,64809.77,63049.77,5.06,15.34,188.65,14035.67,5945.48,5021.29,828.44,8.53,GBP,1.46,-37333534.60,363152454.71,72244.36,363094434.67,55709768.56,6153.40,82298.92,43645.56,1953.08,3068.41,363099456.16,363093302.76,307383534.20,3020.96,4675636.00
1121,TataModel_17,2015,India,6478,415579549.66,111375319.31,11423.36,71225.30,64152.45,26.80,11.08,592.91,17930.95,8588.54,5789.75,4012.23,7.55,EUR,1.08,65329105.21,415561025.80,85211.08,415494338.58,46046214.10,11801.88,48782.68,22706.26,9025.31,6337.58,415509701.47,415497899.59,369451685.49,2118.54,3621076.00
1122,TataModel_17,2016,India,179,8501596.14,1710521.14,13600.18,43278.44,47494.95,20.12,18.64,352.89,4526.02,10880.02,19846.35,3554.41,6.99,AUD,0.66,125823.62,8496717.23,59499.68,8442096.46,1584697.52,4516.09,112893.65,30900.30,5038.20,4918.63,8452053.29,8447537.20,6862839.68,4280.92,3771084.00
1123,TataModel_17,2017,India,3164,142051050.74,16136999.36,18259.34,49185.53,44896.03,11.36,13.40,297.62,16749.20,5553.37,11408.40,6603.55,11.27,JPY,0.88,-2897841.44,142034003.92,92975.59,141958075.15,19034840.80,5178.59,107197.59,52595.06,4205.85,7092.19,141969373.19,141964194.60,122929353.80,1660.70,3658375.00
1124,TataModel_17,2018,India,5270,151715644.20,33969132.74,8983.28,27823.84,28788.55,22.39,13.57,1012.88,21585.50,1190.02,5706.31,3568.87,8.78,EUR,1.03,13381319.82,151693045.82,20460.31,151695183.89,20587812.92,1431.89,107111.60,53482.65,7658.20,6123.31,151708965.40,151707533.51,131119720.60,4900.51,3436997.00
1125,TataModel_17,2019,India,745,30168746.67,1662297.94,15289.12,67508.67,40494.96,5.51,15.09,1321.76,13298.41,7037.92,2589.49,5198.74,9.62,USD,0.60,-2890165.93,30154126.50,27619.45,30141127.22,4552463.87,1570.50,68536.46,16442.96,9988.75,7598.46,30158714.43,30157143.93,25604680.06,1132.92,4228709.00
1126,TataModel_17,2020,India,2712,152837248.10,24362257.35,10984.83,72535.72,56355.92,15.94,10.02,380.55,8946.09,3982.34,14567.55,2383.23,5.22,EUR,1.11,9047965.09,152827921.46,11290.51,152825957.59,15314292.26,13538.53,64487.75,50019.71,9116.31,4140.80,152839214.70,152825676.17,137511383.91,3139.27,4736978.00
1127,TataModel_17,2021,India,2559,34192811.37,5293047.20,17357.61,31648.13,13361.79,15.48,15.26,1300.97,17229.64,12156.26,5575.26,4042.48,9.31,USD,1.07,75224.19,34174280.76,90774.45,34102036.92,5217823.02,10374.56,77581.44,45771.23,3726.85,4080.34,34109844.11,34099469.55,28881646.54,2663.55,4850113.00
1128,TataModel_17,2022,India,2201,120490277.60,6313690.55,10940.79,46409.95,54743.42,5.24,10.72,1356.33,23043.66,5028.59,5308.04,6111.79,6.07,JPY,1.17,-6602867.21,120465877.61,89497.05,120400780.55,12916557.76,9460.42,116508.18,9689.58,8316.82,7588.65,120416686.02,120407225.60,107490667.84,2566.87,2787411.00
1129,TataModel_17,2023,India,4466,72198768.36,4050350.91,19537.35,42662.15,16166.32,5.61,9.32,1363.68,7203.17,10415.94,4339.99,7123.17,9.30,GBP,1.47,-2678574.31,72190201.51,59387.19,72139381.17,6728925.21,13138.61,105611.05,19349.70,10058.57,3825.74,72153265.48,72140126.87,65411201.66,3651.62,2406777.00
1130,TataModel_17,2024,India,6329,70579220.47,7072037.89,14197.80,74665.47,11151.72,10.02,7.49,353.92,20856.57,8741.79,8147.25,2477.56,3.61,EUR,1.15,1785654.28,70558009.98,14549.98,70564670.49,5286383.61,14979.80,109390.63,13670.86,8042.58,5859.11,70578572.18,70563592.38,65277208.77,3807.79,3373309.00
1131,TataModel_17,2015,USA,853,6760298.61,1078943.66,10682.69,61642.38,7925.32,15.96,13.46,948.18,22392.20,4357.95,19373.57,7964.66,8.44,USD,1.46,169007.47,6736958.23,73168.47,6687130.14,909936.19,6016.14,71800.03,44150.82,5835.26,676.50,6693641.90,6687625.76,5777689.57,3515.27,2042105.00
1132,TataModel_17,2016,USA,6433,179253338.54,44436902.62,13414.77,53510.57,27864.66,24.79,6.90,845.51,4303.34,6264.79,7311.49,3711.26,5.88,USD,1.30,32068422.27,179248189.69,98863.51,179154475.03,12368480.36,10000.15,10984.08,18240.21,3654.74,2132.35,179160262.12,179150261.97,166781781.61,3294.78,1173023.00
1133,TataModel_17,2017,USA,3198,144716268.60,26946169.21,18407.81,30743.38,45252.12,18.62,9.48,913.10,24917.09,8592.75,3964.88,6808.28,8.10,AUD,1.50,13227066.95,144690438.41,28865.34,144687403.26,13719102.26,7822.86,80112.62,21321.50,8270.58,1828.25,144697502.09,144689679.23,130970576.97,2041.04,3274701.00
1134,TataModel_17,2018,USA,5466,302216185.79,65913350.12,5120.39,69543.56,55290.19,21.81,12.16,982.77,19217.62,11426.85,12219.27,2545.76,10.46,EUR,1.16,29163861.93,302195985.40,59891.44,302156294.35,36749488.19,3498.65,115617.84,14580.42,2974.90,2305.29,302161574.54,302158075.89,265408587.69,4178.91,2289824.00
1135,TataModel_17,2019,USA,644,20653746.19,3595817.21,16385.71,42850.44,32071.03,17.41,17.64,641.48,5411.35,14295.54,6114.27,830.43,9.76,INR,0.81,-47503.62,20647693.36,45136.09,20608610.10,3643320.83,14559.88,54843.28,36911.55,5970.57,6469.05,20621049.72,20606489.84,16963169.01,2567.72,2776921.00
